,speaker,top1,top2,top3,top4,top5,top6,top7,top8,top9,top10,top11,top12,top13,top14,top15,season,top1_prop,top2_prop,top3_prop,top4_prop,top5_prop,top6_prop,top7_prop,top8_prop,top9_prop,top10_prop,top11_prop,top12_prop,top13_prop,top14_prop,top15_prop
68,Kevin,michael,think,guy,really,thats,pam,fire,jim,said,got,get,go,please,dont,like,2,0.017857142857142856,0.011363636363636364,0.011363636363636364,0.011363636363636364,0.00974025974025974,0.00974025974025974,0.00974025974025974,0.008116883116883116,0.008116883116883116,0.008116883116883116,0.008116883116883116,0.008116883116883116,0.008116883116883116,0.008116883116883116,0.008116883116883116
69,Kevin,know,michael,like,angela,going,time,pam,go,think,well,look,jim,get,would,got,3,0.016025641025641024,0.014957264957264958,0.013888888888888888,0.011752136752136752,0.011752136752136752,0.009615384615384616,0.009615384615384616,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.008547008547008548,0.007478632478632479,0.007478632478632479,0.007478632478632479,0.007478632478632479
70,Kevin,michael,like,go,back,get,gon,jim,pizza,really,see,wait,take,pam,bad,want,4,0.023494860499265784,0.014684287812041116,0.013215859030837005,0.011747430249632892,0.011747430249632892,0.010279001468428781,0.010279001468428781,0.010279001468428781,0.010279001468428781,0.00881057268722467,0.007342143906020558,0.007342143906020558,0.007342143906020558,0.007342143906020558,0.007342143906020558
71,Kevin,michael,kevin,like,think,didnt,phone,want,call,he,look,lynn,got,would,mean,ryan,5,0.018038331454340473,0.015783540022547914,0.014656144306651634,0.012401352874859075,0.009019165727170236,0.009019165727170236,0.007891770011273957,0.007891770011273957,0.007891770011273957,0.007891770011273957,0.007891770011273957,0.006764374295377677,0.006764374295377677,0.006764374295377677,0.006764374295377677
72,Kevin,michael,like,think,pam,dont,want,jim,know,oscar,would,hi,season,angela,mean,going,6,0.016701461377870562,0.014613778705636743,0.011482254697286013,0.010438413361169102,0.010438413361169102,0.009394572025052192,0.009394572025052192,0.009394572025052192,0.009394572025052192,0.008350730688935281,0.007306889352818371,0.006263048016701462,0.006263048016701462,0.006263048016701462,0.006263048016701462
73,Kevin,like,michael,get,dont,know,well,right,look,nice,people,think,got,would,kevin,jim,7,0.016100178890876567,0.014311270125223614,0.013416815742397137,0.013416815742397137,0.01073345259391771,0.008944543828264758,0.008050089445438283,0.008050089445438283,0.007155635062611807,0.007155635062611807,0.007155635062611807,0.007155635062611807,0.007155635062611807,0.007155635062611807,0.007155635062611807
74,Kevin,like,guy,think,time,know,one,dont,right,get,look,good,oscar,kevin,warning,mean,8,0.013188518231186967,0.012412723041117145,0.010861132660977503,0.010861132660977503,0.010861132660977503,0.009309542280837859,0.009309542280837859,0.008533747090768037,0.007757951900698216,0.007757951900698216,0.007757951900698216,0.0069821567106283944,0.0069821567106283944,0.0069821567106283944,0.0069821567106283944
75,Kevin,angela,oscar,well,dont,like,one,get,know,really,thats,go,season,guy,pam,andy,9,0.013768115942028985,0.013768115942028985,0.012318840579710146,0.011594202898550725,0.010869565217391304,0.010869565217391304,0.009420289855072464,0.009420289855072464,0.009420289855072464,0.008695652173913044,0.007971014492753623,0.006521739130434782,0.006521739130434782,0.006521739130434782,0.006521739130434782
76,Meredith,youre,right,meredith,vagina,michael,someone,get,still,let,happens,downsizing,downsizes,funny,hope,happy,1,0.08974358974358974,0.05128205128205128,0.05128205128205128,0.038461538461538464,0.038461538461538464,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
77,Meredith,wow,take,year,jim,season,would,shake,please,thanks,drink,taking,week,theyre,kid,tell,2,0.02185792349726776,0.02185792349726776,0.01639344262295082,0.01639344262295082,0.01092896174863388,0.01092896174863388,0.01092896174863388,0.01092896174863388,0.01092896174863388,0.01092896174863388,0.01092896174863388,0.01092896174863388,0.01092896174863388,0.01092896174863388,0.01092896174863388
78,Meredith,get,want,know,season,like,thats,dont,pull,really,way,come,ahh,roy,wedding,little,3,0.0321285140562249,0.020080321285140562,0.01606425702811245,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.008032128514056224
79,Meredith,really,three,season,one,michael,dont,take,get,picture,two,guy,see,lot,jim,pam,4,0.024896265560165973,0.02074688796680498,0.016597510373443983,0.016597510373443983,0.016597510373443983,0.016597510373443983,0.016597510373443983,0.012448132780082987,0.012448132780082987,0.012448132780082987,0.012448132780082987,0.008298755186721992,0.008298755186721992,0.008298755186721992,0.008298755186721992
80,Meredith,way,wait,minute,know,dont,got,get,like,season,god,guy,something,going,kid,nothing,5,0.030120481927710843,0.024096385542168676,0.020080321285140562,0.01606425702811245,0.014056224899598393,0.012048192771084338,0.012048192771084338,0.012048192771084338,0.010040160642570281,0.010040160642570281,0.010040160642570281,0.010040160642570281,0.010040160642570281,0.008032128514056224,0.008032128514056224
81,Meredith,get,like,season,dont,day,tell,ill,never,hell,thing,gon,jim,taking,cut,want,6,0.01928374655647383,0.01928374655647383,0.01652892561983471,0.013774104683195593,0.011019283746556474,0.011019283746556474,0.011019283746556474,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356
82,Meredith,season,wait,know,guy,man,real,look,youre,got,michael,ring,get,like,thats,car,7,0.019553072625698324,0.019553072625698324,0.01675977653631285,0.01675977653631285,0.013966480446927373,0.013966480446927373,0.013966480446927373,0.0111731843575419,0.0111731843575419,0.0111731843575419,0.0111731843575419,0.0111731843575419,0.0111731843575419,0.008379888268156424,0.008379888268156424
83,Meredith,season,one,coming,get,got,like,didnt,right,back,put,ta,thing,show,take,toby,8,0.021052631578947368,0.015789473684210527,0.013157894736842105,0.013157894736842105,0.013157894736842105,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.007894736842105263,0.007894736842105263,0.007894736842105263,0.007894736842105263,0.007894736842105263,0.007894736842105263,0.007894736842105263
84,Meredith,one,season,let,get,right,take,got,good,come,head,jakey,go,want,ah,like,9,0.01652892561983471,0.01487603305785124,0.013223140495867768,0.013223140495867768,0.011570247933884297,0.011570247933884297,0.011570247933884297,0.011570247933884297,0.009917355371900827,0.009917355371900827,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356,0.008264462809917356
85,Michael,know,right,dont,like,going,go,good,come,get,well,pam,thats,let,one,youre,1,0.02413127413127413,0.016891891891891893,0.012387387387387387,0.011583011583011582,0.009974259974259974,0.009974259974259974,0.009813384813384814,0.009652509652509652,0.00933075933075933,0.00916988416988417,0.00916988416988417,0.008687258687258687,0.008043758043758044,0.0074002574002574005,0.00723938223938224
86,Michael,know,dont,well,like,go,thats,right,good,dwight,get,one,want,think,going,would,2,0.01688774615789166,0.013907555659440192,0.012329807748495295,0.009232747034418278,0.008882136387541635,0.008823701279728861,0.008589960848477766,0.008589960848477766,0.007830304446911705,0.007713434231286157,0.006778472506281774,0.006603167182843452,0.006369426751592357,0.006310991643779583,0.006194121428154035
87,Michael,know,dont,like,well,get,right,good,go,going,want,thats,dwight,let,one,jan,3,0.016764870931537598,0.013468013468013467,0.011293490460157127,0.009609988776655443,0.009189113355780022,0.008978675645342313,0.008698092031425365,0.00855780022446689,0.00813692480359147,0.007856341189674524,0.007575757575757576,0.007295173961840628,0.007295173961840628,0.007154882154882155,0.006523569023569023
88,Michael,know,dont,like,well,get,good,going,go,right,think,thats,want,would,dwight,back,4,0.014446359681523434,0.01305097266683083,0.012476401543133874,0.010342280226545186,0.009849790691947797,0.008946893211852582,0.008864811622753016,0.008454403677255192,0.008372322088155627,0.007633587786259542,0.007551506197159977,0.007141098251662152,0.006894853484363458,0.006648608717064762,0.0059919560042682425
89,Michael,dont,know,going,want,go,get,right,well,like,think,good,dwight,come,youre,would,5,0.012270794115596458,0.011922192010039741,0.010806665272258244,0.010179181482256152,0.010039740640033466,0.009970020218922123,0.009133375165586,0.008715052638917939,0.008715052638917939,0.008575611796695252,0.008087568848915847,0.007390364637802412,0.007111482953357038,0.006483999163354947,0.006414278742243603
90,Michael,know,dont,go,well,like,think,right,going,jim,thats,get,would,want,good,come,6,0.015741180193007437,0.011944312608764437,0.010995095712703686,0.010283183040658124,0.009650371776617624,0.00917576332858725,0.00917576332858725,0.008859357696566999,0.008305647840531562,0.007672836576491061,0.007356430944470811,0.007198228128460687,0.006960923904445499,0.006328112640404999,0.006169909824394874
91,Michael,know,dont,like,go,well,right,thats,good,going,get,would,look,holly,gon,think,7,0.018249688925756947,0.013790958108668603,0.010887598506843633,0.010783907092492741,0.009746992948983823,0.009435918705931148,0.009124844462878473,0.008502695976773124,0.007569473247615098,0.007258399004562422,0.006947324761509747,0.006428867689755288,0.006428867689755288,0.006221484861053505,0.00591041061800083
92,Michael,season,cry,grew,dream,kid,married,feel,like,thats,parent,said,every,poll,pole,polaroid,9,0.45,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.0,0.0,0.0
93,Oscar,michael,know,like,dont,year,thank,thats,well,say,want,right,mile,charity,per,nephew,1,0.05741626794258373,0.023923444976076555,0.023923444976076555,0.023923444976076555,0.019138755980861243,0.019138755980861243,0.019138755980861243,0.019138755980861243,0.014354066985645933,0.014354066985645933,0.014354066985645933,0.014354066985645933,0.014354066985645933,0.009569377990430622,0.009569377990430622
94,Oscar,michael,like,know,good,got,dont,creed,really,towards,ill,thats,take,think,day,last,2,0.026465028355387523,0.020793950850661626,0.017013232514177693,0.015122873345935728,0.015122873345935728,0.015122873345935728,0.011342155009451797,0.011342155009451797,0.011342155009451797,0.011342155009451797,0.011342155009451797,0.00945179584120983,0.00945179584120983,0.00945179584120983,0.00945179584120983
95,Oscar,gay,dont,youre,think,michael,really,like,angela,thats,office,laugh,would,come,well,going,3,0.024128686327077747,0.024128686327077747,0.021447721179624665,0.021447721179624665,0.01876675603217158,0.01876675603217158,0.0160857908847185,0.013404825737265416,0.013404825737265416,0.010723860589812333,0.010723860589812333,0.010723860589812333,0.010723860589812333,0.010723860589812333,0.010723860589812333
96,Oscar,michael,dont,like,know,thing,good,need,jan,think,could,season,totally,kevin,one,bar,4,0.02620967741935484,0.018145161290322582,0.016129032258064516,0.016129032258064516,0.014112903225806451,0.010080645161290322,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.008064516129032258,0.006048387096774193,0.006048387096774193,0.006048387096774193
97,Oscar,michael,dont,think,dollar,know,thats,year,want,go,get,andy,good,kevin,say,angela,5,0.018627450980392157,0.01568627450980392,0.011764705882352941,0.010784313725490196,0.010784313725490196,0.010784313725490196,0.00980392156862745,0.00980392156862745,0.008823529411764706,0.008823529411764706,0.008823529411764706,0.00784313725490196,0.00784313725490196,0.006862745098039216,0.006862745098039216
98,Oscar,michael,right,think,know,would,youre,jim,could,thats,mean,pam,season,dont,matt,thing,6,0.014598540145985401,0.01338199513381995,0.01338199513381995,0.012165450121654502,0.009732360097323601,0.009732360097323601,0.009732360097323601,0.00851581508515815,0.00851581508515815,0.00851581508515815,0.00851581508515815,0.0072992700729927005,0.0072992700729927005,0.0072992700729927005,0.006082725060827251
